No.,Gd,MS,Ag,inc,oinc,es,fully employed,edu,Tertiary,as,new as,house,car,cd,cc,ncc,cco
129,1,1,37,15000,15000,1,1,5,1,2,1,0,1,1,1,1,0
130,2,2,36,5000,5000,1,1,3,0,1,0,0,0,1,2,0,
131,1,2,27,22000,22000,1,1,3,0,2,1,0,1,1,3,1,0
132,2,1,47,15000,15000,1,1,5,1,1,0,0,0,1,1,1,0
133,2,3,56,5000,5000,2,0,3,0,1,0,0,0,1,2,0,
134,2,3,62,15000,15000,1,1,3,0,3,0,1,0,1,2,0,
135,1,3,63,15000,15000,2,0,5,1,2,1,0,1,1,2,0,1
136,2,2,42,13000,40000,1,1,5,1,2,1,0,1,0,,,
137,2,4,45,24000,50000,1,1,5,1,4,1,1,1,1,1,1,0
138,1,1,47,23000,30000,1,1,5,1,1,0,0,0,1,2,0,
139,1,2,50,9000,9000,1,1,5,1,1,0,0,0,1,3,1,1
140,1,2,51,30000,30000,1,1,5,1,1,0,0,0,1,1,1,0
141,2,2,50,15000,15000,1,1,3,0,3,0,1,0,1,1,1,0
142,1,4,46,20000,20000,1,1,3,0,1,0,0,0,0,,,
143,2,2,47,3000,3000,2,0,2,0,3,0,1,0,1,2,0,1
144,2,4,41,15000,15000,3,1,3,0,1,0,0,0,0,,,
145,2,2,28,7000,7000,2,0,3,0,3,0,1,0,1,3,1,1
146,2,2,62,6000,6000,4,0,3,0,1,0,0,0,1,1,1,1
147,2,1,28,15000,15000,2,0,3,0,1,0,0,0,0,,,
148,1,2,29,10000,50000,1,1,6,1,4,1,1,1,1,1,1,1
149,2,1,20,4000,4000,1,1,3,0,1,0,0,0,1,2,0,
150,1,1,21,21000,21000,1,1,3,0,4,1,1,1,0,,,
151,1,1,29,10000,10000,2,0,3,0,1,0,0,0,0,,,
152,2,2,40,11000,11000,1,1,3,0,4,1,1,1,1,1,1,0
153,1,4,45,10000,30000,1,1,4,0,3,0,1,0,0,,,
154,0,4,42,0,0,4,0,5,1,1,0,0,0,0,,,
155,1,4,50,20000,20000,4,0,5,1,2,1,0,1,1,1,1,0
156,2,3,55,24000,25000,1,1,3,0,3,0,1,0,1,1,1,0
157,1,2,55,0,0,4,0,3,0,1,0,0,0,0,,,
158,1,2,48,14000,14000,1,1,3,0,1,0,0,0,1,1,1,0
159,2,1,45,80000,80000,1,1,3,0,4,1,1,1,1,2,0,0
160,1,1,39,10000,10000,2,0,3,0,2,1,0,1,1,1,1,0
161,1,1,20,0,0,4,0,3,0,1,0,0,0,0,,,
162,2,2,40,15000,15000,2,0,5,1,4,1,1,1,1,1,1,0
